Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bert,plot,on,on,on,0.017149,0.26065,0.488095,0.092537,0.184524,25.815767
longformer_ext,plot,on,on,on,0.008151,0.160896,0.289951,0.036364,0.131796,23.723051
t5,plot,on,on,on,0.024922,0.215901,0.418182,0.10219,0.185455,26.136333
bart,plot,on,on,on,0.029106,0.219749,0.507177,0.1344,0.210526,29.909058
bert,plot,on,on,on,0.017473,0.286777,0.407065,0.126369,0.188394,24.122854
longformer_ext,plot,on,on,on,0.038155,0.172858,0.424528,0.14511,0.210692,29.111062
t5,plot,on,on,on,0.008923,0.164004,0.377224,0.089286,0.206406,40.563431
bart,plot,on,on,on,0.082446,0.235895,0.521484,0.215264,0.257812,46.690751
bert,plot,on,on,on,0.058212,0.343501,0.567519,0.202501,0.212968,26.389932
longformer_ext,plot,on,on,on,0.081649,0.245485,0.535012,0.168637,0.239182,38.196263
t5,plot,on,on,on,0.023428,0.144247,0.379691,0.117257,0.196468,36.947367
bart,table,on,on,on,0.015479,0.227683,0.391241,0.079063,0.166423,24.448313
bert,table,on,on,on,0.013628,0.263744,0.422872,0.082667,0.172872,29.292746
longformer_ext,table,on,on,on,0.007045,0.182998,0.311991,0.044341,0.118743,31.427547
t5,table,on,on,on,0.028306,0.263084,0.453608,0.106352,0.182622,23.180956
bart,table,on,on,on,0.029178,0.223823,0.449165,0.115677,0.215478,29.182709
bert,table,on,on,on,0.022992,0.245729,0.395869,0.115517,0.182444,28.496315
longformer_ext,table,on,on,on,0.046504,0.249237,0.454321,0.141089,0.219753,32.953585
t5,table,on,on,on,0.026203,0.171376,0.394366,0.116608,0.200704,35.726742
bart,table,on,on,on,0.08415,0.232332,0.504487,0.217782,0.247258,40.62702
bert,table,on,on,on,0.041157,0.339713,0.517401,0.142857,0.185615,25.320967
longformer_ext,table,on,on,on,0.071513,0.219426,0.491289,0.155323,0.214286,18.844037
t5,table,on,on,on,0.015966,0.1835,0.429461,0.126819,0.195021,27.139463
bart,plot+table,on,on,on,0.036156,0.247193,0.422343,0.090164,0.171662,21.428888
bert,plot+table,on,on,on,0.013073,0.225913,0.40866,0.07327,0.156969,21.839867
longformer_ext,plot+table,on,on,on,0.017245,0.183398,0.329705,0.062402,0.158631,25.964301
t5,plot+table,on,on,on,0.047586,0.255783,0.453074,0.123377,0.190939,26.998656
bart,plot+table,on,on,on,0.030838,0.228289,0.461538,0.128571,0.216524,23.098962
bert,plot+table,on,on,on,0.021385,0.280753,0.401011,0.119831,0.173547,22.288851
longformer_ext,plot+table,on,on,on,0.03593,0.202079,0.435935,0.132939,0.212077,25.534986
t5,plot+table,on,on,on,0.0221,0.188994,0.413223,0.12272,0.21157,30.676429
bart,plot+table,on,on,on,0.076598,0.226218,0.503831,0.18618,0.237548,40.612195
bert,plot+table,on,on,on,0.044946,0.337861,0.522813,0.177324,0.199678,27.054514
longformer_ext,plot+table,on,on,on,0.107624,0.256258,0.526656,0.18932,0.226171,36.248923
t5,plot+table,on,on,on,0.014484,0.153659,0.384205,0.109091,0.179296,40.444649
bart,plot,off,off,off,0.035984,0.219195,0.448567,0.098139,0.198988,36.206614
bert,plot,off,off,off,0.025144,0.240127,0.450567,0.110569,0.197731,34.097619
longformer_ext,plot,off,off,off,0.044417,0.261507,0.420772,0.106809,0.20506,35.53774
t5,plot,off,off,off,0.029481,0.18556,0.402344,0.109804,0.1875,27.554907
bart,plot,off,off,off,0.034133,0.198188,0.449324,0.101695,0.202703,36.702878
