Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,table,off,on,on,0.016818,0.269148,0.432234,0.073439,0.166056,5.086152
t5,table,off,on,on,0.010649,0.160165,0.369511,0.063071,0.155758,5.086152
t5,table,off,on,on,0.03582,0.223537,0.453831,0.082677,0.155206,5.086152
longformer_ext,table,off,on,on,0.010297,0.198567,0.303103,0.028708,0.121718,6.836334
longformer_ext,table,off,on,on,0.005833,0.134246,0.2969,0.037582,0.132137,6.836334
longformer_ext,table,off,on,on,0.011587,0.172997,0.351013,0.042512,0.111861,6.836334
bart,plot+table,off,on,on,0.018234,0.254696,0.438188,0.078528,0.171359,18.139231
bart,plot+table,off,on,on,0.036836,0.174769,0.414938,0.078138,0.175934,18.139231
bart,plot+table,off,on,on,0.031384,0.21209,0.452756,0.086785,0.175197,18.139231
bert,plot+table,off,on,on,0.012263,0.2852,0.244879,0.049595,0.087661,-4.647727
bert,plot+table,off,on,on,0.013999,0.278588,0.384399,0.063581,0.140732,-4.647727
bert,plot+table,off,on,on,0.006609,0.269523,0.328982,0.060976,0.112272,-4.647727
t5,plot+table,off,on,on,0.016225,0.259973,0.4,0.086294,0.162025,15.403529
t5,plot+table,off,on,on,0.023702,0.162028,0.375212,0.07483,0.152801,15.403529
t5,plot+table,off,on,on,0.043631,0.21364,0.444894,0.091185,0.171891,15.403529
longformer_ext,plot+table,off,on,on,0.010284,0.205876,0.349166,0.030888,0.115533,10.256345
longformer_ext,plot+table,off,on,on,0.007204,0.138035,0.327335,0.039485,0.128535,10.256345
longformer_ext,plot+table,off,on,on,0.013311,0.185339,0.390593,0.047131,0.130879,10.256345
bart,plot,on,on,on,0.021072,0.293053,0.452467,0.091677,0.170878,20.088685
bart,plot,on,on,on,0.027131,0.182539,0.42822,0.09203,0.175554,20.088685
bart,plot,on,on,on,0.038732,0.235514,0.497087,0.083658,0.196117,20.088685
bert,plot,on,on,on,0.007171,0.274869,0.25847,0.051357,0.100678,-6.17608
bert,plot,on,on,on,0.013753,0.284271,0.400163,0.075041,0.146699,-6.17608
bert,plot,on,on,on,0.009238,0.280285,0.339073,0.063632,0.122737,-6.17608
t5,plot,on,on,on,0.009076,0.211852,0.394218,0.031621,0.134034,9.785245
t5,plot,on,on,on,0.008581,0.145176,0.349869,0.040105,0.127067,9.785245
