Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
t5,table,on,off,off,0.014556,0.190122,0.383648,0.053628,0.147799,15.747914
longformer_ext,table,on,off,off,0.002145,0.040204,0.081575,0.0,0.045007,-107.755764
bart,plot+table,on,off,off,0.01312,0.166435,0.380368,0.086154,0.165644,26.717599
bert,plot+table,on,off,off,0.007305,0.276053,0.364865,0.071719,0.128378,1.758461
t5,plot+table,on,off,off,0.011101,0.162828,0.341693,0.059748,0.147335,21.583951
longformer_ext,plot+table,on,off,off,0.005053,0.078007,0.184438,0.014451,0.083573,-48.10462
bart,plot,off,on,off,0.020186,0.189977,0.428377,0.098495,0.18281,5.555393
bert,plot,off,on,off,0.00425,0.259655,0.347597,0.06592,0.127716,1.707826
t5,plot,off,on,off,0.029358,0.196159,0.433018,0.081411,0.159675,4.767784
longformer_ext,plot,off,on,off,0.030933,0.217644,0.421162,0.095634,0.157676,1.911364
