Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,on,on,on,0.009435,0.125935,0.321513,0.118483,0.174941,29.478634
bert,plot,on,on,on,0.059503,0.300348,0.572965,0.176923,0.21659,25.809474
longformer_ext,plot,on,on,on,0.03848,0.170471,0.437751,0.146881,0.184739,47.8325
t5,plot,on,on,on,0.002605,0.079759,0.25,0.065163,0.1275,30.910397
bart,table,on,on,on,0.019561,0.223186,0.424699,0.07855,0.168675,17.790518
bert,table,on,on,on,0.007899,0.258635,0.285342,0.056099,0.109446,11.348891
longformer_ext,table,on,on,on,0.014479,0.235341,0.399519,0.055489,0.146811,21.582963
t5,table,on,on,on,0.019753,0.187475,0.403279,0.059211,0.157377,21.59198
bart,table,on,on,on,0.029976,0.193825,0.41853,0.105769,0.172524,40.462971
bert,table,on,on,on,0.009145,0.250968,0.3855,0.074402,0.136163,24.807877
longformer_ext,table,on,on,on,0.011064,0.198799,0.400531,0.074468,0.161804,30.265292
t5,table,on,on,on,0.014658,0.165499,0.363958,0.109929,0.173145,46.407352
bart,table,on,on,on,0.023036,0.14801,0.353863,0.118967,0.18589,24.855987
bert,table,on,on,on,0.036475,0.281446,0.465925,0.10585,0.175243,21.62921
longformer_ext,table,on,on,on,0.058322,0.207167,0.480895,0.153128,0.190121,42.103194
t5,table,on,on,on,0.005877,0.107863,0.289352,0.071926,0.134259,33.534545
bart,plot+table,on,on,on,0.021179,0.212716,0.4096,0.070626,0.1632,18.767838
bert,plot+table,on,on,on,0.012626,0.277634,0.326967,0.073451,0.128342,13.506227
longformer_ext,plot+table,on,on,on,0.014475,0.267083,0.397927,0.068536,0.140933,26.655478
t5,plot+table,on,on,on,0.011521,0.157443,0.35524,0.039216,0.145648,30.645135
bart,plot+table,on,on,on,0.02648,0.184328,0.401361,0.098976,0.197279,34.748001
bert,plot+table,on,on,on,0.016162,0.242031,0.40622,0.085686,0.155491,21.326477
longformer_ext,plot+table,on,on,on,0.006776,0.151482,0.298222,0.038409,0.114911,32.29
t5,plot+table,on,on,on,0.010189,0.162836,0.394089,0.095552,0.16092,36.040992
bart,plot+table,on,on,on,0.0233,0.154902,0.375679,0.1284,0.173724,28.674118
bert,plot+table,on,on,on,0.046498,0.297247,0.527642,0.120533,0.180546,16.751788
longformer_ext,plot+table,on,on,on,0.023166,0.181742,0.419679,0.104628,0.174699,38.165098
