Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,table,off,off,on,0.019081,0.212195,0.346835,0.055838,0.162025,14.749224
none,plot+table,off,off,on,0.006753,0.240147,0.182779,0.052877,0.088281,33.208008
bart,plot+table,off,off,on,0.033344,0.222025,0.437288,0.108844,0.2,30.460976
bert,plot+table,off,off,on,0.010503,0.270897,0.376254,0.068677,0.14214,20.274773
t5,plot+table,off,off,on,0.007895,0.169553,0.369231,0.092664,0.192308,26.838992
longformer_ext,plot+table,off,off,on,0.019432,0.221166,0.39267,0.08399,0.175393,22.204862
none,plot,on,off,on,0.010939,0.245934,0.194872,0.059528,0.093675,40.703451
bart,plot,on,off,on,0.017491,0.201538,0.415094,0.079174,0.161235,25.412276
bert,plot,on,off,on,0.012669,0.296311,0.383562,0.080512,0.149772,18.193384
t5,plot,on,off,on,0.015023,0.179362,0.386847,0.08932,0.162476,29.803157
longformer_ext,plot,on,off,on,0.019671,0.237698,0.387895,0.074483,0.143054,11.001383
none,table,on,off,on,0.004403,0.197727,0.146462,0.040099,0.067293,34.142469
bart,table,on,off,on,0.028611,0.228944,0.400607,0.082192,0.172989,25.647037
bert,table,on,off,on,0.007737,0.25365,0.3,0.057828,0.116901,14.800575
t5,table,on,off,on,0.013819,0.170219,0.368897,0.043557,0.144665,31.967411
longformer_ext,table,on,off,on,0.015198,0.237985,0.353319,0.05794,0.141328,24.061866
none,plot+table,on,off,on,0.006909,0.210095,0.166713,0.047178,0.074656,31.91134
bart,plot+table,on,off,on,0.014054,0.199273,0.429319,0.06655,0.17103,14.607077
bert,plot+table,on,off,on,0.01048,0.263971,0.345409,0.060759,0.136479,9.4147
t5,plot+table,on,off,on,0.012551,0.168303,0.37265,0.048027,0.147009,29.028892
longformer_ext,plot+table,on,off,on,0.016947,0.215574,0.346853,0.050491,0.148252,29.899548
none,plot,on,on,off,0.012041,0.25973,0.204708,0.060671,0.096291,35.333753
bart,plot,on,on,off,0.018905,0.185911,0.402154,0.075676,0.154399,16.205988
bert,plot,on,on,off,0.026047,0.280341,0.400387,0.104651,0.152805,13.099497
t5,plot,on,on,off,0.024023,0.174868,0.40381,0.072658,0.16381,30.312253
longformer_ext,plot,on,on,off,0.004396,0.112122,0.291297,0.032086,0.10302,4.180675
