Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,on,off,on,0.060546,0.289539,0.629489,0.201727,0.268301,35.360567
bart,plot,on,off,on,0.038548,0.212915,0.427184,0.087662,0.171521,30.261295
bart,plot,on,off,on,0.020434,0.167538,0.430845,0.076074,0.166463,30.261295
bart,plot,on,off,on,5.7e-05,0.048992,0.160346,0.059254,0.08982,30.261295
bert,plot,on,off,on,0.012554,0.273548,0.367647,0.086743,0.147059,12.719389
bert,plot,on,off,on,0.015411,0.27406,0.455376,0.104152,0.172874,12.719389
bert,plot,on,off,on,0.012716,0.143162,0.384275,0.110803,0.1567,12.719389
t5,plot,on,off,on,0.015991,0.155756,0.375,0.070588,0.160156,32.152184
t5,plot,on,off,on,0.00383,0.109429,0.337553,0.06488,0.137834,32.152184
t5,plot,on,off,on,0.0,0.03211,0.106207,0.035197,0.064138,32.152184
longformer_ext,plot,on,off,on,0.012985,0.165594,0.337143,0.048711,0.12,16.670882
longformer_ext,plot,on,off,on,0.007466,0.145573,0.355951,0.044593,0.115684,16.670882
longformer_ext,plot,on,off,on,2.7e-05,0.0483,0.191062,0.050551,0.077073,16.670882
none,table,on,off,on,0.004102,0.185644,0.13478,0.03879,0.062774,31.584237
none,table,on,off,on,0.008524,0.220526,0.184907,0.056954,0.082524,31.584237
none,table,on,off,on,0.031197,0.272475,0.505282,0.144367,0.212766,31.584237
bart,table,on,off,on,0.019276,0.204758,0.409375,0.056426,0.165625,29.489799
bart,table,on,off,on,0.02315,0.172948,0.407628,0.0908,0.174017,29.489799
bart,table,on,off,on,5.7e-05,0.048988,0.151255,0.045605,0.084544,29.489799
bert,table,on,off,on,0.007622,0.250972,0.282401,0.057377,0.11869,12.775
bert,table,on,off,on,0.011658,0.261584,0.372372,0.087793,0.136937,12.775
bert,table,on,off,on,0.011552,0.156385,0.381422,0.098131,0.139595,12.775
t5,table,on,off,on,0.013655,0.165839,0.339315,0.032733,0.153344,31.541078
t5,table,on,off,on,0.005483,0.137624,0.359606,0.041975,0.133005,31.541078
t5,table,on,off,on,1.5e-05,0.042668,0.130623,0.030677,0.065978,31.541078
longformer_ext,table,on,off,on,0.011618,0.228536,0.3361,0.047817,0.13278,16.581456
longformer_ext,table,on,off,on,0.031883,0.217234,0.423044,0.086133,0.158212,16.581456
longformer_ext,table,on,off,on,0.002188,0.090813,0.261337,0.059701,0.113962,16.581456
none,plot+table,on,off,on,0.006349,0.234295,0.170725,0.048723,0.078029,34.293252
none,plot+table,on,off,on,0.015742,0.241589,0.227827,0.069329,0.103104,34.293252
none,plot+table,on,off,on,0.049469,0.273523,0.584095,0.177394,0.249784,34.293252
bart,plot+table,on,off,on,0.013973,0.191469,0.427536,0.087273,0.166667,27.627641
bart,plot+table,on,off,on,0.014397,0.150559,0.391478,0.082777,0.167776,27.627641
bart,plot+table,on,off,on,3e-06,0.038233,0.118367,0.044929,0.071429,27.627641
bert,plot+table,on,off,on,0.012559,0.280098,0.353039,0.073394,0.136553,13.262634
bert,plot+table,on,off,on,0.030935,0.266946,0.445714,0.120172,0.175714,13.262634
bert,plot+table,on,off,on,0.011863,0.137867,0.364447,0.109841,0.14433,13.262634
t5,plot+table,on,off,on,0.023714,0.193704,0.402174,0.087273,0.177536,33.71081
t5,plot+table,on,off,on,0.006045,0.127969,0.362184,0.064085,0.149134,33.71081
t5,plot+table,on,off,on,3e-06,0.039135,0.12517,0.038121,0.072109,33.71081
longformer_ext,plot+table,on,off,on,0.016149,0.219553,0.379679,0.058981,0.160428,16.272705
longformer_ext,plot+table,on,off,on,0.026179,0.168655,0.384372,0.05291,0.164731,16.272705
longformer_ext,plot+table,on,off,on,0.000352,0.062954,0.196429,0.047224,0.094388,16.272705
none,plot,on,on,off,0.009944,0.226225,0.196503,0.055983,0.092308,37.297417
none,plot,on,on,off,0.01789,0.256622,0.264792,0.08178,0.122916,37.297417
none,plot,on,on,off,0.066621,0.265257,0.602515,0.201677,0.284299,37.297417
bart,plot,on,on,off,0.017734,0.187941,0.381125,0.080146,0.163339,27.959595
bart,plot,on,on,off,0.009356,0.137811,0.362667,0.066845,0.176,27.959595
bart,plot,on,on,off,3e-06,0.037715,0.110242,0.032005,0.06737,27.959595
bert,plot,on,on,off,0.020037,0.274672,0.411163,0.091333,0.154419,20.572202
bert,plot,on,on,off,0.031669,0.266142,0.470958,0.108491,0.191523,20.572202
bert,plot,on,on,off,0.009213,0.129881,0.354606,0.119041,0.161132,20.572202
t5,plot,on,on,off,0.012706,0.179936,0.423892,0.065764,0.157996,43.585909
t5,plot,on,on,off,0.004146,0.134367,0.359331,0.061453,0.147632,43.585909
t5,plot,on,on,off,1e-06,0.038824,0.114895,0.042685,0.073615,43.585909
longformer_ext,plot,on,on,off,0.020511,0.192925,0.373293,0.070015,0.182094,10.872149
longformer_ext,plot,on,on,off,0.02031,0.136372,0.347319,0.056075,0.158508,10.872149
longformer_ext,plot,on,on,off,5.2e-05,0.050187,0.151625,0.031527,0.07811,10.872149
none,table,on,on,off,0.004039,0.185972,0.12684,0.035946,0.060606,31.828394
none,table,on,on,off,0.008824,0.216844,0.170575,0.052315,0.08176,31.828394
none,table,on,on,off,0.03533,0.261424,0.466324,0.127605,0.201769,31.828394
bart,table,on,on,off,0.019524,0.214443,0.372159,0.065527,0.164773,26.205215
bart,table,on,on,off,0.013444,0.173064,0.40753,0.075472,0.179402,26.205215
bart,table,on,on,off,0.000142,0.055412,0.176585,0.047896,0.095731,26.205215
bert,table,on,on,off,0.00543,0.247222,0.267788,0.045337,0.109961,14.962191
bert,table,on,on,off,0.010576,0.258658,0.356447,0.081469,0.138682,14.962191
bert,table,on,on,off,0.018132,0.160185,0.385867,0.0941,0.143366,14.962191
t5,table,on,on,off,0.011847,0.175287,0.367067,0.034423,0.147513,34.162806
t5,table,on,on,off,0.004344,0.128234,0.317136,0.030769,0.117647,34.162806
t5,table,on,on,off,4e-06,0.033423,0.106361,0.020882,0.055873,34.162806
longformer_ext,table,on,on,off,0.013167,0.242711,0.391061,0.06047,0.149721,35.700131
longformer_ext,table,on,on,off,0.031481,0.20462,0.411335,0.071429,0.166362,35.700131
longformer_ext,table,on,on,off,0.000917,0.071275,0.219312,0.049985,0.099909,35.700131
none,plot+table,on,on,off,0.007392,0.21624,0.180586,0.05057,0.078891,33.685718
none,plot+table,on,on,off,0.011042,0.248932,0.239837,0.06566,0.103368,33.685718
none,plot+table,on,on,off,0.037494,0.258818,0.554589,0.161961,0.240369,33.685718
bart,plot+table,on,on,off,0.017712,0.187768,0.416382,0.071918,0.16041,26.89232
bart,plot+table,on,on,off,0.009391,0.14804,0.366879,0.081737,0.147771,26.89232
bart,plot+table,on,on,off,1.1e-05,0.038643,0.121049,0.03432,0.069267,26.89232
bert,plot+table,on,on,off,0.015335,0.266556,0.343186,0.069079,0.142857,3.929147
bert,plot+table,on,on,off,0.014418,0.262864,0.440367,0.091873,0.152435,3.929147
bert,plot+table,on,on,off,0.007461,0.131086,0.338325,0.079911,0.133111,3.929147
t5,plot+table,on,on,off,0.009047,0.136766,0.325581,0.038911,0.155039,20.625432
t5,plot+table,on,on,off,0.003734,0.116278,0.313287,0.042076,0.117483,20.625432
t5,plot+table,on,on,off,0.0,0.029862,0.093664,0.026878,0.060606,20.625432
longformer_ext,plot+table,on,on,off,0.016089,0.192424,0.373444,0.061026,0.141079,30.485864
longformer_ext,plot+table,on,on,off,0.027627,0.178204,0.403471,0.080435,0.154013,30.485864
longformer_ext,plot+table,on,on,off,0.000151,0.054905,0.166506,0.041171,0.083574,30.485864
none,plot,off,on,on,0.008941,0.236355,0.175223,0.054137,0.090378,30.899606
none,plot,off,on,on,0.013019,0.246801,0.24102,0.073043,0.110081,30.899606
none,plot,off,on,on,0.055981,0.280934,0.599185,0.218478,0.266619,30.899606
bart,plot,off,on,on,0.014312,0.189719,0.402116,0.088496,0.176367,23.893753
bart,plot,off,on,on,0.01681,0.136795,0.37859,0.078534,0.159269,23.893753
bart,plot,off,on,on,4e-06,0.038657,0.127242,0.039959,0.070389,23.893753
bert,plot,off,on,on,0.014166,0.269086,0.359019,0.080702,0.150613,22.121866
bert,plot,off,on,on,0.020252,0.267186,0.438479,0.086632,0.161074,22.121866
bert,plot,off,on,on,0.010584,0.119128,0.344476,0.122449,0.165439,22.121866
t5,plot,off,on,on,0.020932,0.218271,0.432727,0.113139,0.178182,34.012423
t5,plot,off,on,on,0.01893,0.140183,0.376502,0.096386,0.154873,34.012423
t5,plot,off,on,on,3e-06,0.040005,0.125255,0.042916,0.072158,34.012423
longformer_ext,plot,off,on,on,0.022098,0.241471,0.410995,0.089239,0.175393,20.299312
longformer_ext,plot,off,on,on,0.029587,0.213918,0.456906,0.079084,0.166147,20.299312
longformer_ext,plot,off,on,on,0.000583,0.069888,0.211929,0.066032,0.095178,20.299312
none,table,off,on,on,0.004073,0.206648,0.143029,0.038545,0.070792,29.866856
none,table,off,on,on,0.010726,0.244102,0.193474,0.054713,0.090533,29.866856
none,table,off,on,on,0.037274,0.273275,0.507873,0.175562,0.223513,29.866856
bart,table,off,on,on,0.017263,0.21107,0.373457,0.083591,0.17284,17.108824
bart,table,off,on,on,0.027015,0.178753,0.44392,0.089941,0.172373,17.108824
bart,table,off,on,on,6.2e-05,0.051894,0.171278,0.053395,0.090909,17.108824
bert,table,off,on,on,0.006364,0.268891,0.308989,0.053446,0.122191,16.72658
bert,table,off,on,on,0.014366,0.274645,0.390635,0.092535,0.149107,16.72658
bert,table,off,on,on,0.020697,0.143875,0.37618,0.129134,0.164743,16.72658
t5,table,off,on,on,0.01189,0.211067,0.378717,0.072214,0.169014,24.99669
t5,table,off,on,on,0.032045,0.170595,0.400955,0.098086,0.181384,24.99669
t5,table,off,on,on,3.5e-05,0.046467,0.150644,0.042975,0.077304,24.99669
longformer_ext,table,off,on,on,0.012284,0.244977,0.359447,0.064665,0.156682,-0.040079
longformer_ext,table,off,on,on,0.030622,0.193551,0.393627,0.065728,0.148079,-0.040079
longformer_ext,table,off,on,on,0.001135,0.069897,0.219902,0.041795,0.099509,-0.040079
none,plot+table,off,on,on,0.00741,0.230348,0.166238,0.049728,0.075978,26.682389
none,plot+table,off,on,on,0.014075,0.257364,0.23027,0.065441,0.102703,26.682389
none,plot+table,off,on,on,0.051978,0.290129,0.580065,0.203499,0.253354,26.682389
bart,plot+table,off,on,on,0.015529,0.21668,0.437177,0.082902,0.182444,29.156872
bart,plot+table,off,on,on,0.022875,0.167521,0.415385,0.084833,0.182051,29.156872
bart,plot+table,off,on,on,1.4e-05,0.042226,0.135399,0.047186,0.081509,29.156872
bert,plot+table,off,on,on,0.01168,0.28223,0.363636,0.066225,0.128926,18.855201
bert,plot+table,off,on,on,0.023,0.276363,0.444287,0.089552,0.161817,18.855201
bert,plot+table,off,on,on,0.01096,0.125168,0.352418,0.124583,0.168983,18.855201
t5,plot+table,off,on,on,0.021026,0.193393,0.382403,0.078098,0.169205,24.244825
t5,plot+table,off,on,on,0.022455,0.166518,0.402532,0.071066,0.172152,24.244825
t5,plot+table,off,on,on,1.5e-05,0.043628,0.139644,0.047027,0.082578,24.244825
