Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bert,table,off,off,off,0.125333,0.125333,0.125333,0.062667,0.125333,0.0
t5,table,off,off,off,0.150538,0.150538,0.150538,0.075269,0.150538,0.0
longformer_ext,table,off,off,off,0.131752,0.131752,0.131752,0.065876,0.131752,0.0
none,plot+table,off,off,off,0.076456,0.076456,0.076456,0.038228,0.076456,0.0
bart,plot+table,off,off,off,0.157051,0.157051,0.157051,0.078526,0.157051,0.0
bert,plot+table,off,off,off,0.112483,0.112483,0.112483,0.056241,0.112483,0.0
t5,plot+table,off,off,off,0.139535,0.139535,0.139535,0.069767,0.139535,0.0
longformer_ext,plot+table,off,off,off,0.081967,0.081967,0.081967,0.040984,0.081967,0.0
none,plot,on,off,off,0.071317,0.071317,0.071317,0.035658,0.071317,0.0
bart,plot,on,off,off,0.141414,0.141414,0.141414,0.070707,0.141414,0.0
bert,plot,on,off,off,0.127811,0.127811,0.127811,0.063905,0.127811,0.0
t5,plot,on,off,off,0.152648,0.152648,0.152648,0.076324,0.152648,0.0
longformer_ext,plot,on,off,off,0.037113,0.037113,0.037113,0.018557,0.037113,15.2
none,table,on,off,off,0.079736,0.079736,0.079736,0.039868,0.079736,0.0
bart,table,on,off,off,0.149847,0.149847,0.149847,0.074924,0.149847,0.0
bert,table,on,off,off,0.112994,0.112994,0.112994,0.056497,0.112994,0.0
t5,table,on,off,off,0.1536,0.1536,0.1536,0.0768,0.1536,0.0
longformer_ext,table,on,off,off,0.123412,0.123412,0.123412,0.061706,0.123412,0.0
none,plot+table,on,off,off,0.068228,0.068228,0.068228,0.034114,0.068228,0.0
bart,plot+table,on,off,off,0.153631,0.153631,0.153631,0.076816,0.153631,0.0
bert,plot+table,on,off,off,0.1,0.1,0.1,0.05,0.1,0.0
t5,plot+table,on,off,off,0.137255,0.137255,0.137255,0.068627,0.137255,0.0
longformer_ext,plot+table,on,off,off,0.117229,0.117229,0.117229,0.058615,0.117229,0.0
none,plot,off,on,off,0.077135,0.077135,0.077135,0.038567,0.077135,0.0
bart,plot,off,on,off,0.167894,0.167894,0.167894,0.083947,0.167894,0.0
bert,plot,off,on,off,0.11734,0.11734,0.11734,0.05867,0.11734,0.0
t5,plot,off,on,off,0.142857,0.142857,0.142857,0.071429,0.142857,0.0
longformer_ext,plot,off,on,off,0.135819,0.135819,0.135819,0.067909,0.135819,0.0
none,table,off,on,off,0.071089,0.071089,0.071089,0.035544,0.071089,0.0
bart,table,off,on,off,0.137715,0.137715,0.137715,0.068858,0.137715,0.0
bert,table,off,on,off,0.125964,0.125964,0.125964,0.062982,0.125964,0.0
t5,table,off,on,off,0.116041,0.116041,0.116041,0.05802,0.116041,0.0
longformer_ext,table,off,on,off,0.023932,0.023932,0.023932,0.011966,0.023932,0.0
none,plot+table,off,on,off,0.076172,0.076172,0.076172,0.038086,0.076172,0.0
bart,plot+table,off,on,off,0.159639,0.159639,0.159639,0.079819,0.159639,0.0
bert,plot+table,off,on,off,0.142282,0.142282,0.142282,0.071141,0.142282,0.0
t5,plot+table,off,on,off,0.131313,0.131313,0.131313,0.065657,0.131313,0.0
longformer_ext,plot+table,off,on,off,0.108387,0.108387,0.108387,0.054194,0.108387,0.0
none,plot,off,off,on,0.078483,0.078483,0.078483,0.039241,0.078483,0.0
bart,plot,off,off,on,0.166667,0.166667,0.166667,0.083333,0.166667,0.0
bert,plot,off,off,on,0.137931,0.137931,0.137931,0.068966,0.137931,0.0
t5,plot,off,off,on,0.16,0.16,0.16,0.08,0.16,0.0
longformer_ext,plot,off,off,on,0.125,0.125,0.125,0.0625,0.125,0.0
none,table,off,off,on,0.079308,0.079308,0.079308,0.039654,0.079308,0.0
bart,table,off,off,on,0.149915,0.149915,0.149915,0.074957,0.149915,0.0
bert,table,off,off,on,0.133523,0.133523,0.133523,0.066761,0.133523,0.0
t5,table,off,off,on,0.135987,0.135987,0.135987,0.067993,0.135987,0.0
longformer_ext,table,off,off,on,0.107692,0.107692,0.107692,0.053846,0.107692,0.0
none,plot+table,off,off,on,0.07176,0.07176,0.07176,0.03588,0.07176,0.0
bart,plot+table,off,off,on,0.138728,0.138728,0.138728,0.069364,0.138728,0.0
bert,plot+table,off,off,on,0.150376,0.150376,0.150376,0.075188,0.150376,0.0
t5,plot+table,off,off,on,0.147567,0.147567,0.147567,0.073783,0.147567,0.0
longformer_ext,plot+table,off,off,on,0.091057,0.091057,0.091057,0.045528,0.091057,0.0
none,plot,on,off,on,0.082773,0.082773,0.082773,0.041387,0.082773,0.0
bart,plot,on,off,on,0.168639,0.168639,0.168639,0.08432,0.168639,0.0
bert,plot,on,off,on,0.140496,0.140496,0.140496,0.070248,0.140496,0.0
t5,plot,on,off,on,0.14262,0.14262,0.14262,0.07131,0.14262,0.0
longformer_ext,plot,on,off,on,0.121637,0.121637,0.121637,0.060819,0.121637,0.0
none,table,on,off,on,0.071043,0.071043,0.071043,0.035522,0.071043,0.0
bart,table,on,off,on,0.156749,0.156749,0.156749,0.078374,0.156749,0.0
bert,table,on,off,on,0.1321,0.1321,0.1321,0.06605,0.1321,0.0
t5,table,on,off,on,0.14791,0.14791,0.14791,0.073955,0.14791,0.0
longformer_ext,table,on,off,on,0.075235,0.075235,0.075235,0.037618,0.075235,0.0
none,plot+table,on,off,on,0.086201,0.086201,0.086201,0.0431,0.086201,0.0
bart,plot+table,on,off,on,0.138973,0.138973,0.138973,0.069486,0.138973,0.0
bert,plot+table,on,off,on,0.122507,0.122507,0.122507,0.061254,0.122507,0.0
t5,plot+table,on,off,on,0.154098,0.154098,0.154098,0.077049,0.154098,0.0
longformer_ext,plot+table,on,off,on,0.138776,0.138776,0.138776,0.069388,0.138776,0.0
none,plot,on,on,off,0.074484,0.074484,0.074484,0.037242,0.074484,0.0
bart,plot,on,on,off,0.157815,0.157815,0.157815,0.078907,0.157815,0.0
bert,plot,on,on,off,0.126816,0.126816,0.126816,0.063408,0.126816,0.0
t5,plot,on,on,off,0.131621,0.131621,0.131621,0.065811,0.131621,0.0
longformer_ext,plot,on,on,off,0.119084,0.119084,0.119084,0.059542,0.119084,0.0
none,table,on,on,off,0.060994,0.060994,0.060994,0.030497,0.060994,0.0
bart,table,on,on,off,0.13217,0.13217,0.13217,0.066085,0.13217,0.0
bert,table,on,on,off,0.125714,0.125714,0.125714,0.062857,0.125714,0.0
t5,table,on,on,off,0.140299,0.140299,0.140299,0.070149,0.140299,0.0
longformer_ext,table,on,on,off,0.156863,0.156863,0.156863,0.078431,0.156863,0.0
none,plot+table,on,on,off,0.06597,0.06597,0.06597,0.032985,0.06597,0.0
bart,plot+table,on,on,off,0.132756,0.132756,0.132756,0.066378,0.132756,0.0
bert,plot+table,on,on,off,0.102684,0.102684,0.102684,0.051342,0.102684,0.0
