Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot+table,off,off,on,0.027589,0.266958,0.419725,0.122847,0.15711,-5.787182,bert
plot+table,off,off,on,0.013576,0.147894,0.307812,0.082942,0.117188,25.520759,longformer_ext
plot+table,off,off,on,0.023556,0.164139,0.380062,0.106139,0.176532,23.195566,t5
plot,on,off,on,0.013307,0.162534,0.397504,0.083929,0.167558,17.826329,bart
plot,on,off,on,0.013775,0.286899,0.445398,0.085919,0.17072,4.298704,bert
plot,on,off,on,0.014757,0.172933,0.399076,0.066358,0.155624,8.179657,longformer_ext
plot,on,off,on,0.007293,0.136014,0.376492,0.060718,0.145087,22.42721,t5
plot,on,off,on,0.013878,0.145069,0.378723,0.110874,0.174468,22.83587,bart
plot,on,off,on,0.019144,0.264137,0.405183,0.115566,0.151943,-4.793218,bert
plot,on,off,on,0.024884,0.189766,0.394071,0.080349,0.156931,4.99219,longformer_ext
plot,on,off,on,0.011331,0.132793,0.309524,0.058568,0.145022,7.643077,t5
table,on,off,on,0.010928,0.163828,0.362393,0.063356,0.169231,21.802939,bart
table,on,off,on,0.011119,0.270097,0.412466,0.06789,0.151237,4.506648,bert
table,on,off,on,0.018913,0.19341,0.435798,0.090413,0.172763,9.196908,longformer_ext
table,on,off,on,0.003661,0.10196,0.266928,0.023599,0.113837,23.342501,t5
table,on,off,on,0.01344,0.154062,0.360199,0.069791,0.155224,18.799468,bart
table,on,off,on,0.013125,0.246383,0.366733,0.087262,0.140281,-4.941544,bert
table,on,off,on,0.023953,0.16527,0.325279,0.083799,0.150558,15.86735,longformer_ext
table,on,off,on,0.011732,0.152144,0.342629,0.043912,0.135458,23.350346,t5
plot+table,on,off,on,0.027768,0.173265,0.410214,0.084158,0.176277,15.618061,bart
plot+table,on,off,on,0.01727,0.281354,0.382568,0.083365,0.143463,-2.267277,bert
plot+table,on,off,on,0.010839,0.151293,0.360709,0.053226,0.148148,1.518085,longformer_ext
plot+table,on,off,on,0.012842,0.170645,0.397611,0.070085,0.158703,35.794554,t5
plot+table,on,off,on,0.033133,0.175381,0.431452,0.123232,0.169355,33.030169,bart
plot+table,on,off,on,0.012863,0.272675,0.396947,0.125318,0.146565,1.066785,bert
plot+table,on,off,on,0.024031,0.199518,0.40591,0.084112,0.167963,13.689041,longformer_ext
plot+table,on,off,on,0.016402,0.154283,0.334008,0.081136,0.145749,24.823614,t5
plot,on,on,off,0.027674,0.171188,0.409385,0.081037,0.158576,7.691909,bart
plot,on,on,off,0.008488,0.27685,0.369208,0.067178,0.134987,-7.377873,bert
plot,on,on,off,0.003718,0.108711,0.271454,0.029825,0.126095,-26.747244,longformer_ext
plot,on,on,off,0.009295,0.1502,0.387208,0.064069,0.145203,14.774616,t5
